+---------------------------------------------------------------+
|             Report of 2D FEA based PEmag results              |
|               Created by PEmag Release 2022 R2               |
|                 © 2022 UPM-SAS IP, Inc.                 |
+---------------------------------------------------------------+

-----------------------------------------------------------
  Magnetic Component Name: Trans_ETD39
  Number of Windings: 4
-----------------------------------------------------------

+---------------------------------------------+
|                                             |
|  Resistance as a function of the Frequency  |
|                                             |
+---------------------------------------------+

+-------------------------+
| Resistance of Winding 1 |
+-------------------------+

+----------------+----------------+
| Frequency (Hz) |    R (mohm)    |
|    9.77e+04    |       0.0634   |
|    1.02e+05    |       0.0634   |
|    1.07e+05    |       0.0633   |
|    1.12e+05    |       0.0633   |
|    1.18e+05    |       0.0633   |
|    1.23e+05    |       0.0633   |
|    1.29e+05    |       0.0633   |
|    1.35e+05    |       0.0633   |
|    1.42e+05    |       0.0633   |
|    1.48e+05    |       0.0633   |
|    1.56e+05    |       0.0633   |
|    1.63e+05    |       0.0632   |
|    1.71e+05    |       0.0632   |
|    1.79e+05    |       0.0632   |
|    1.87e+05    |       0.0632   |
|    1.96e+05    |       0.0632   |
|    2.06e+05    |       0.0632   |
|    2.15e+05    |       0.0631   |
|    2.26e+05    |       0.0631   |
|    2.36e+05    |       0.0631   |
|    2.48e+05    |        0.063   |
|     2.6e+05    |        0.063   |
|    2.72e+05    |        0.063   |
|    2.85e+05    |       0.0629   |
|    2.98e+05    |       0.0629   |
|    3.13e+05    |       0.0628   |
|    3.27e+05    |       0.0628   |
|    3.43e+05    |       0.0627   |
|    3.59e+05    |       0.0627   |
|    3.76e+05    |       0.0626   |
|    3.94e+05    |       0.0625   |
|    4.13e+05    |       0.0624   |
|    4.33e+05    |       0.0624   |
|    4.53e+05    |       0.0623   |
|    4.75e+05    |       0.0622   |
|    4.98e+05    |       0.0621   |
|    5.21e+05    |        0.062   |
|    5.46e+05    |       0.0619   |
|    5.72e+05    |       0.0618   |
|    5.99e+05    |       0.0617   |
|    6.28e+05    |       0.0615   |
